price,drive
12995,4wd
12995,fwd
27500,rwd
63995,4wd
17999,4wd
6497,4wd
20780,4wd
3300,4wd
20999,rwd
13780,fwd
8500,rwd
3795,4wd
44880,4wd
50,4wd
17900,rwd
219,fwd
25590,4wd
11500,rwd
10399,fwd
17699,4wd
59997,4wd
18600,4wd
3995,4wd
16495,4wd
8995,rwd
5400,fwd
32990,4wd
28985,rwd
13990,fwd
11900,rwd
14599,rwd
42999,4wd
48590,fwd
27590,rwd
34998,4wd
13999,4wd
7000,fwd
43900,rwd
12500,fwd
2500,rwd
23000,rwd
6500,fwd
38900,4wd
35990,rwd
35590,rwd
8000,4wd
36990,4wd
6988,fwd
4900,fwd
12999,rwd
3000,rwd
38995,4wd
37923,4wd
21995,fwd
2595,4wd
29590,fwd
29991,rwd
5995,fwd
16498,fwd
8995,fwd
6995,fwd
852,4wd
22990,fwd
3750,4wd
57995,4wd
12690,fwd
15590,fwd
10000,fwd
8199,fwd
900,4wd
15950,4wd
27899,fwd
45590,fwd
5500,rwd
3300,fwd
36590,rwd
14590,4wd
9995,4wd
1900,rwd
39998,4wd
19590,4wd
1500,rwd
507,4wd
21973,fwd
33990,4wd
786,4wd
2500,fwd
15295,4wd
34990,4wd
13980,rwd
46999,4wd
14988,4wd
36990,4wd
3995,fwd
100,fwd
7900,rwd
16000,rwd
41590,fwd
17995,4wd
11700,fwd
1500,rwd
13195,4wd
11950,fwd
2700,rwd
5550,fwd
11598,fwd
39999,4wd
14999,4wd
7800,rwd
20995,fwd
68495,4wd
39900,rwd
5200,fwd
9500,rwd
28500,4wd
24990,fwd
5000,4wd
50995,4wd
6900,rwd
3500,fwd
63488,4wd
3200,fwd
24900,4wd
8995,fwd
17725,4wd
15990,4wd
28490,rwd
24495,4wd
4100,4wd
12500,fwd
26990,rwd
6568,4wd
5790,fwd
19500,fwd
8200,4wd
38590,4wd
9950,fwd
29990,4wd
9995,4wd
4950,4wd
20949,4wd
23500,fwd
8000,rwd
24995,4wd
16900,4wd
8999,fwd
1,4wd
33691,4wd
39590,4wd
11500,4wd
17498,4wd
17998,4wd
39495,4wd
20999,fwd
16000,rwd
2595,4wd
24736,fwd
3800,4wd
4500,4wd
26990,rwd
22590,4wd
11500,rwd
13990,4wd
19995,4wd
5000,4wd
20990,fwd
5500,fwd
4500,4wd
33990,4wd
49900,fwd
10999,rwd
17990,fwd
11100,fwd
19995,rwd
4500,fwd
2988,4wd
49141,4wd
11000,fwd
18995,4wd
48999,4wd
45800,4wd
12998,fwd
35590,rwd
18995,4wd
5700,fwd
11985,4wd
12900,fwd
51995,4wd
35990,rwd
32995,4wd
27324,4wd
15990,4wd
9850,4wd
30990,4wd
10999,fwd
22999,4wd
22989,4wd
